owner_age,owner_gender,geo_zone,vehicle_classification,vehicle_age,duration,n_claims,claim_cost,claim_frequency
0,1,1,4,12,0.175342,0,0,0.0
5,0,3,3,18,0.454795,0,0,0.0
5,0,4,1,25,0.172603,0,0,0.0
6,0,2,1,26,0.180822,0,0,0.0
9,0,3,3,8,0.542466,0,0,0.0
9,1,4,4,20,0.50411,0,0,0.0
10,1,2,3,16,0.150685,0,0,0.0
10,1,4,2,17,0.523288,0,0,0.0
10,1,4,4,21,1.00274,0,0,0.0
11,0,2,3,13,1.065753,0,0,0.0
11,1,4,4,22,1.0,0,0,0.0
12,0,2,3,14,0.517808,0,0,0.0
12,1,2,1,18,0.975342,0,0,0.0
12,1,4,4,23,1.0,0,0,0.0
13,0,4,4,10,0.671233,0,0,0.0
13,1,2,2,58,0.931507,0,0,0.0
13,1,4,4,24,0.49589,0,0,0.0
13,1,6,1,13,0.580822,0,0,0.0
14,1,2,1,40,1.0,0,0,0.0
14,1,2,1,51,0.169863,0,0,0.0
14,1,2,2,59,1.0,0,0,0.0
14,1,4,1,15,0.939726,0,0,0.0
14,1,4,3,5,0.435616,0,0,0.0
14,1,4,5,13,0.194521,0,0,0.0
15,0,4,2,11,0.208219,0,0,0.0
15,0,4,5,18,0.254795,0,0,0.0
15,1,2,1,41,1.0,0,0,0.0
15,1,2,2,60,0.991781,0,0,0.0
15,1,2,3,4,0.087671,0,0,0.0
15,1,3,1,4,0.249315,0,0,0.0
15,1,3,1,5,0.460274,0,0,0.0
15,1,3,2,15,0.553425,0,0,0.0
15,1,4,1,1,0.008219,0,0,0.0
15,1,4,2,6,0.624658,0,0,0.0
15,1,4,2,8,0.035616,0,0,0.0
15,1,4,2,10,0.454795,0,0,0.0
15,1,4,3,4,0.145205,0,0,0.0
15,1,4,3,10,0.013699,0,0,0.0
16,0,1,3,7,0.232877,0,0,0.0
16,0,3,1,15,0.50137,0,0,0.0
16,0,4,1,10,0.336986,0,0,0.0
16,0,4,1,10,0.249315,0,0,0.0
16,0,4,1,13,0.473973,0,0,0.0
16,0,4,1,16,0.50411,0,0,0.0
16,0,4,1,17,0.443836,0,0,0.0
16,0,4,2,12,0.835616,0,0,0.0
16,0,4,2,12,0.252055,0,0,0.0
16,0,5,3,8,0.465753,0,0,0.0
16,0,6,1,13,0.243836,0,0,0.0
16,1,1,1,9,0.438356,0,0,0.0
16,1,1,1,13,0.060274,0,0,0.0
16,1,1,2,7,0.167123,0,0,0.0
16,1,1,2,7,0.09589,0,0,0.0
16,1,1,2,13,0.441096,0,0,0.0
16,1,1,3,6,0.517808,0,0,0.0
16,1,1,3,8,0.884932,0,0,0.0
16,1,2,1,4,0.635616,0,0,0.0
16,1,2,1,6,0.372603,0,0,0.0
16,1,2,1,8,1.120548,0,0,0.0
16,1,2,1,9,0.293151,0,0,0.0
16,1,2,1,18,0.342466,0,0,0.0
16,1,2,2,9,0.953425,0,0,0.0
16,1,2,2,10,0.424658,1,6847,2.3548361269539253
16,1,2,2,11,0.010959,0,0,0.0
16,1,2,2,12,1.70137,0,0,0.0
16,1,2,2,12,0.021918,0,0,0.0
16,1,2,2,13,0.460274,0,0,0.0
16,1,2,3,4,0.578082,0,0,0.0
16,1,2,3,5,1.243836,0,0,0.0
16,1,2,3,5,0.046575,0,0,0.0
16,1,2,3,6,1.50137,0,0,0.0
16,1,2,3,6,0.016438,0,0,0.0
16,1,2,3,8,0.205479,0,0,0.0
16,1,2,3,11,0.060274,0,0,0.0
16,1,3,1,8,0.479452,0,0,0.0
16,1,3,1,10,0.446575,0,0,0.0
16,1,3,1,12,0.161644,0,0,0.0
16,1,3,1,13,0.769863,0,0,0.0
16,1,3,1,14,0.542466,0,0,0.0
16,1,3,1,15,0.016438,0,0,0.0
16,1,3,1,16,0.161644,0,0,0.0
16,1,3,2,9,0.438356,0,0,0.0
16,1,3,2,10,0.046575,0,0,0.0
16,1,3,2,11,1.315068,0,0,0.0
16,1,3,2,12,0.191781,0,0,0.0
16,1,3,3,4,1.167123,0,0,0.0
16,1,3,3,5,0.59726,0,0,0.0
16,1,3,3,6,1.19726,0,0,0.0
16,1,3,3,7,1.8,1,20223,0.5555555555555556
16,1,3,3,7,0.082192,0,0,0.0
16,1,4,1,0,0.50137,0,0,0.0
16,1,4,1,1,0.660274,0,0,0.0
16,1,4,1,2,1.854795,0,0,0.0
16,1,4,1,3,1.958904,0,0,0.0
16,1,4,1,4,1.728767,0,0,0.0
16,1,4,1,5,0.386301,0,0,0.0
16,1,4,1,6,0.936986,0,0,0.0
16,1,4,1,7,0.975342,0,0,0.0
16,1,4,1,8,1.063014,0,0,0.0
16,1,4,1,11,1.641096,0,0,0.0
16,1,4,1,12,0.608219,0,0,0.0
16,1,4,1,12,0.320548,0,0,0.0
16,1,4,1,13,0.413699,0,0,0.0
16,1,4,1,14,0.673973,0,0,0.0
16,1,4,1,15,0.19726,0,0,0.0
16,1,4,1,17,0.378082,0,0,0.0
16,1,4,1,23,0.49589,0,0,0.0
16,1,4,2,5,0.432877,0,0,0.0
16,1,4,2,6,0.443836,0,0,0.0
16,1,4,2,7,1.408219,0,0,0.0
16,1,4,2,7,0.50137,0,0,0.0
16,1,4,2,8,2.871233,0,0,0.0
16,1,4,2,9,2.024658,0,0,0.0
16,1,4,2,10,1.79726,0,0,0.0
16,1,4,2,10,0.263014,0,0,0.0
16,1,4,2,11,3.016438,0,0,0.0
16,1,4,2,12,3.665753,0,0,0.0
16,1,4,2,12,0.252055,0,0,0.0
16,1,4,2,13,2.071233,0,0,0.0
16,1,4,2,14,0.060274,0,0,0.0
16,1,4,2,15,0.328767,0,0,0.0
16,1,4,2,17,0.019178,0,0,0.0
16,1,4,3,3,1.013699,0,0,0.0
16,1,4,3,3,0.153425,0,0,0.0
16,1,4,3,4,1.868493,0,0,0.0
16,1,4,3,5,3.605479,0,0,0.0
16,1,4,3,6,2.523288,0,0,0.0
16,1,4,3,7,3.739726,0,0,0.0
16,1,4,3,7,0.4,0,0,0.0
16,1,4,3,8,0.484932,0,0,0.0
16,1,4,3,9,1.780822,0,0,0.0
16,1,4,3,10,0.427397,0,0,0.0
16,1,4,3,11,0.443836,0,0,0.0
16,1,4,3,12,0.413699,0,0,0.0
16,1,4,3,18,0.038356,0,0,0.0
16,1,5,2,7,0.482192,0,0,0.0
16,1,5,2,8,0.723288,0,0,0.0
16,1,5,2,9,0.235616,0,0,0.0
16,1,5,2,12,0.065753,0,0,0.0
16,1,5,2,13,0.336986,0,0,0.0
16,1,5,2,16,0.00274,0,0,0.0
16,1,5,3,7,0.452055,0,0,0.0
16,1,6,1,1,0.060274,0,0,0.0
16,1,6,1,3,0.443836,0,0,0.0
16,1,6,1,10,0.010959,0,0,0.0
16,1,6,1,22,0.931507,0,0,0.0
16,1,6,2,7,0.145205,0,0,0.0
16,1,6,2,8,0.232877,0,0,0.0
16,1,6,2,10,0.210959,0,0,0.0
16,1,6,3,4,0.128767,0,0,0.0
16,1,6,3,6,0.19726,0,0,0.0
16,1,7,1,16,0.421918,0,0,0.0
17,0,1,1,7,0.994521,0,0,0.0
17,0,1,1,12,0.536986,0,0,0.0
17,0,1,3,8,0.189041,0,0,0.0
17,0,1,3,8,0.528767,0,0,0.0
17,0,2,1,10,1.046575,0,0,0.0
17,0,2,2,13,0.134247,0,0,0.0
17,0,2,3,15,0.249315,0,0,0.0
17,0,2,3,23,0.312329,0,0,0.0
17,0,3,1,5,0.435616,0,0,0.0
17,0,3,1,16,1.00274,0,0,0.0
17,0,3,1,18,1.972603,0,0,0.0
17,0,3,2,11,0.460274,0,0,0.0
17,0,3,3,8,0.493151,0,0,0.0
17,0,4,1,3,0.49589,0,0,0.0
17,0,4,1,7,0.493151,0,0,0.0
17,0,4,1,11,0.432877,0,0,0.0
17,0,4,1,14,0.49589,0,0,0.0
17,0,4,1,14,0.50411,0,0,0.0
17,0,4,1,15,0.49863,0,0,0.0
17,0,4,1,15,0.032877,0,0,0.0
17,0,4,1,17,1.041096,0,0,0.0
17,0,4,1,17,0.39726,0,0,0.0
17,0,4,1,18,0.679452,0,0,0.0
17,0,4,1,18,0.50137,0,0,0.0
17,0,4,1,19,0.994521,0,0,0.0
17,0,4,2,0,0.038356,0,0,0.0
17,0,4,2,5,0.334247,0,0,0.0
17,0,4,2,10,0.487671,0,0,0.0
17,0,4,2,11,0.969863,0,0,0.0
17,0,4,2,11,0.583562,0,0,0.0
17,0,4,2,13,0.747945,0,0,0.0
17,0,4,2,13,0.252055,0,0,0.0
17,0,4,2,14,1.158904,0,0,0.0
17,0,4,2,17,0.254795,0,0,0.0
17,0,4,3,3,0.471233,0,0,0.0
17,0,4,3,4,1.0,0,0,0.0
17,0,4,3,8,0.191781,0,0,0.0
17,0,4,3,9,0.509589,0,0,0.0
17,0,4,3,10,1.0,0,0,0.0
17,0,4,3,15,0.071233,0,0,0.0
17,0,6,1,12,0.465753,0,0,0.0
17,0,6,2,11,0.252055,0,0,0.0
17,1,1,1,1,0.928767,0,0,0.0
17,1,1,1,2,0.50137,0,0,0.0
17,1,1,1,2,0.008219,0,0,0.0
17,1,1,1,4,0.408219,0,0,0.0
17,1,1,1,7,0.830137,0,0,0.0
17,1,1,1,8,0.410959,0,0,0.0
17,1,1,1,9,0.345205,0,0,0.0
17,1,1,1,10,0.49589,0,0,0.0
17,1,1,1,14,0.50137,0,0,0.0
17,1,1,1,16,0.027397,0,0,0.0
17,1,1,1,46,0.419178,0,0,0.0
17,1,1,2,8,0.59726,0,0,0.0
17,1,1,2,8,0.205479,0,0,0.0
17,1,1,2,9,0.221918,0,0,0.0
17,1,1,2,10,0.383562,1,12810,2.6071404362267376
17,1,1,2,14,0.49863,0,0,0.0
17,1,1,3,3,2.153425,0,0,0.0
17,1,1,3,3,0.183562,0,0,0.0
17,1,1,3,4,0.750685,0,0,0.0
17,1,1,3,4,0.260274,0,0,0.0
17,1,1,3,5,0.421918,0,0,0.0
17,1,1,3,7,1.520548,0,0,0.0
17,1,1,3,7,0.893151,0,0,0.0
17,1,2,1,0,0.452055,0,0,0.0
17,1,2,1,2,0.958904,0,0,0.0
17,1,2,1,5,2.556164,0,0,0.0
17,1,2,1,6,1.013699,0,0,0.0
17,1,2,1,7,3.115068,0,0,0.0
17,1,2,1,7,1.010959,0,0,0.0
17,1,2,1,7,0.531507,0,0,0.0
17,1,2,1,8,0.994521,0,0,0.0
17,1,2,1,9,1.882192,0,0,0.0
17,1,2,1,10,1.252055,0,0,0.0
17,1,2,1,12,2.854795,0,0,0.0
17,1,2,1,13,0.380822,0,0,0.0
17,1,2,1,14,1.079452,0,0,0.0
17,1,2,1,16,0.958904,0,0,0.0
17,1,2,1,19,0.936986,0,0,0.0
17,1,2,2,6,0.353425,0,0,0.0
17,1,2,2,7,1.205479,0,0,0.0
17,1,2,2,9,0.473973,0,0,0.0
17,1,2,2,10,1.430137,0,0,0.0
17,1,2,2,10,0.580822,0,0,0.0
17,1,2,2,11,1.452055,1,5000,0.6886791478284224
17,1,2,2,11,0.50137,0,0,0.0
17,1,2,2,13,0.545205,0,0,0.0
17,1,2,2,13,0.391781,0,0,0.0
17,1,2,2,14,1.0,0,0,0.0
17,1,2,3,3,0.756164,0,0,0.0
17,1,2,3,3,0.235616,0,0,0.0
17,1,2,3,4,0.493151,0,0,0.0
17,1,2,3,5,1.473973,0,0,0.0
17,1,2,3,5,0.838356,0,0,0.0
17,1,2,3,5,0.2,0,0,0.0
17,1,2,3,6,1.139726,0,0,0.0
17,1,2,3,7,1.079452,0,0,0.0
17,1,2,3,7,0.750685,0,0,0.0
17,1,2,3,7,0.252055,0,0,0.0
17,1,2,3,8,1.0,0,0,0.0
17,1,2,3,8,0.917808,0,0,0.0
17,1,2,3,9,0.783562,1,8000,1.2762231961223234
17,1,2,3,10,2.246575,0,0,0.0
17,1,2,4,6,0.128767,0,0,0.0
17,1,3,1,1,1.369863,0,0,0.0
17,1,3,1,4,0.630137,0,0,0.0
17,1,3,1,5,1.383562,0,0,0.0
17,1,3,1,6,0.975342,0,0,0.0
17,1,3,1,6,0.342466,0,0,0.0
17,1,3,1,7,4.128767,0,0,0.0
17,1,3,1,7,0.183562,1,15000,5.447750623767447
17,1,3,1,8,2.490411,0,0,0.0
17,1,3,1,9,0.961644,0,0,0.0
17,1,3,1,10,0.106849,0,0,0.0
17,1,3,1,11,0.49589,0,0,0.0
17,1,3,1,11,0.50411,0,0,0.0
17,1,3,1,12,2.536986,0,0,0.0
17,1,3,1,12,0.010959,0,0,0.0
17,1,3,1,13,0.980822,0,0,0.0
17,1,3,1,13,0.279452,0,0,0.0
17,1,3,1,14,1.769863,0,0,0.0
17,1,3,1,15,0.263014,0,0,0.0
17,1,3,1,16,3.369863,0,0,0.0
17,1,3,1,17,1.50137,0,0,0.0
17,1,3,1,17,0.50137,0,0,0.0
17,1,3,1,18,0.276712,0,0,0.0
17,1,3,2,3,0.589041,0,0,0.0
17,1,3,2,3,0.657534,0,0,0.0
17,1,3,2,4,0.216438,0,0,0.0
17,1,3,2,6,0.975342,0,0,0.0
17,1,3,2,6,0.432877,0,0,0.0
17,1,3,2,8,0.50137,0,0,0.0
17,1,3,2,10,1.0,0,0,0.0
17,1,3,2,11,1.252055,0,0,0.0
17,1,3,2,12,4.791781,0,0,0.0
17,1,3,2,12,0.99726,0,0,0.0
17,1,3,2,13,0.454795,0,0,0.0
17,1,3,2,14,0.734247,0,0,0.0
17,1,3,2,15,1.413699,0,0,0.0
17,1,3,2,16,0.945205,0,0,0.0
17,1,3,2,17,0.430137,0,0,0.0
17,1,3,3,3,1.0,0,0,0.0
17,1,3,3,3,0.161644,0,0,0.0
17,1,3,3,4,3.810959,1,15122,0.26240114364914446
17,1,3,3,4,0.010959,0,0,0.0
17,1,3,3,5,2.638356,1,822,0.3790239073119776
17,1,3,3,5,0.742466,0,0,0.0
17,1,3,3,6,1.441096,0,0,0.0
17,1,3,3,7,2.147945,0,0,0.0
17,1,3,3,7,1.50411,0,0,0.0
17,1,3,3,8,1.446575,0,0,0.0
17,1,3,3,8,0.821918,0,0,0.0
17,1,3,3,9,0.457534,0,0,0.0
17,1,3,3,10,0.969863,0,0,0.0
17,1,3,3,12,0.50411,0,0,0.0
17,1,3,3,13,0.539726,0,0,0.0
17,1,3,5,3,0.243836,0,0,0.0
17,1,4,1,0,0.60274,0,0,0.0
17,1,4,1,0,0.493151,0,0,0.0
17,1,4,1,1,1.446575,0,0,0.0
17,1,4,1,1,0.465753,0,0,0.0
17,1,4,1,2,2.821918,0,0,0.0
17,1,4,1,2,0.4,0,0,0.0
17,1,4,1,4,4.243836,0,0,0.0
17,1,4,1,4,1.232877,0,0,0.0
17,1,4,1,5,2.939726,0,0,0.0
17,1,4,1,5,1.027397,0,0,0.0
17,1,4,1,6,1.106849,1,6685,0.9034656037092684
17,1,4,1,7,4.969863,0,0,0.0
17,1,4,1,7,0.558904,0,0,0.0
17,1,4,1,8,3.810959,0,0,0.0
17,1,4,1,8,1.0,0,0,0.0
17,1,4,1,8,0.926027,0,0,0.0
17,1,4,1,9,1.438356,0,0,0.0
17,1,4,1,9,1.0,0,0,0.0
17,1,4,1,10,3.079452,0,0,0.0
17,1,4,1,11,3.876712,0,0,0.0
17,1,4,1,11,0.279452,0,0,0.0
17,1,4,1,12,7.660274,0,0,0.0
17,1,4,1,12,1.50137,0,0,0.0
17,1,4,1,13,2.726027,0,0,0.0
17,1,4,1,13,0.238356,0,0,0.0
17,1,4,1,13,0.49589,0,0,0.0
17,1,4,1,14,1.665753,0,0,0.0
17,1,4,1,15,3.334247,0,0,0.0
17,1,4,1,15,0.50137,0,0,0.0
17,1,4,1,16,4.857534,0,0,0.0
17,1,4,1,17,3.306849,0,0,0.0
17,1,4,1,18,0.972603,0,0,0.0
17,1,4,1,19,0.950685,0,0,0.0
17,1,4,1,24,0.805479,0,0,0.0
17,1,4,1,28,1.194521,0,0,0.0
17,1,4,1,40,0.460274,0,0,0.0
17,1,4,1,43,1.0,0,0,0.0
17,1,4,2,4,0.49589,0,0,0.0
17,1,4,2,5,0.547945,0,0,0.0
17,1,4,2,6,0.49863,0,0,0.0
17,1,4,2,6,0.50137,0,0,0.0
17,1,4,2,7,3.983562,0,0,0.0
17,1,4,2,7,0.252055,0,0,0.0
17,1,4,2,8,3.547945,0,0,0.0
17,1,4,2,8,0.750685,0,0,0.0
17,1,4,2,8,0.50137,0,0,0.0
17,1,4,2,9,5.989041,0,0,0.0
17,1,4,2,9,1.287671,0,0,0.0
17,1,4,2,10,6.482192,0,0,0.0
17,1,4,2,10,2.868493,0,0,0.0
17,1,4,2,11,5.465753,0,0,0.0
17,1,4,2,11,0.594521,0,0,0.0
17,1,4,2,12,10.97534,0,0,0.0
17,1,4,2,12,0.232877,0,0,0.0
17,1,4,2,13,3.175342,0,0,0.0
17,1,4,2,13,2.421918,0,0,0.0
17,1,4,2,14,4.482192,0,0,0.0
17,1,4,2,14,1.008219,0,0,0.0
17,1,4,2,15,4.635616,0,0,0.0
17,1,4,2,15,0.136986,0,0,0.0
17,1,4,2,16,3.389041,0,0,0.0
17,1,4,2,17,0.989041,0,0,0.0
17,1,4,2,18,0.906849,0,0,0.0
17,1,4,2,18,0.024658,0,0,0.0
17,1,4,3,0,0.40274,0,0,0.0
17,1,4,3,3,0.268493,0,0,0.0
17,1,4,3,4,1.128767,0,0,0.0
17,1,4,3,4,0.016438,0,0,0.0
17,1,4,3,6,6.147945,0,0,0.0
17,1,4,3,6,0.745205,0,0,0.0
17,1,4,3,7,5.29863,0,0,0.0
17,1,4,3,7,1.564384,0,0,0.0
17,1,4,3,7,0.249315,0,0,0.0
17,1,4,3,8,8.386301,0,0,0.0
17,1,4,3,8,1.252055,0,0,0.0
17,1,4,3,8,0.569863,0,0,0.0
17,1,4,3,9,2.646575,0,0,0.0
17,1,4,3,10,4.961644,0,0,0.0
17,1,4,3,10,1.419178,0,0,0.0
17,1,4,3,11,0.49863,0,0,0.0
17,1,4,3,11,0.50137,0,0,0.0
17,1,4,3,12,0.961644,0,0,0.0
