owner_gender,geo_zone,vehicle_classification,vehicle_age,claim_frequency,Age_Is_young,Age_Is_lower_middle,Age_Is_upper_middle,Age_Is_old
1,1,4,12,0.0,0,1,0,0
0,3,3,18,0.0,0,1,0,0
0,4,1,25,0.0,0,1,0,0
0,2,1,26,0.0,0,1,0,0
0,3,3,8,0.0,0,1,0,0
1,4,4,20,0.0,0,1,0,0
1,2,3,16,0.0,0,1,0,0
1,4,2,17,0.0,0,1,0,0
1,4,4,21,0.0,0,1,0,0
0,2,3,13,0.0,0,1,0,0
1,4,4,22,0.0,0,1,0,0
0,2,3,14,0.0,0,1,0,0
1,2,1,18,0.0,0,1,0,0
1,4,4,23,0.0,0,1,0,0
0,4,4,10,0.0,0,1,0,0
1,2,2,58,0.0,0,1,0,0
1,4,4,24,0.0,0,1,0,0
1,6,1,13,0.0,0,1,0,0
1,2,1,40,0.0,0,1,0,0
1,2,1,51,0.0,0,1,0,0
1,2,2,59,0.0,0,1,0,0
1,4,1,15,0.0,0,1,0,0
1,4,3,5,0.0,0,1,0,0
1,4,5,13,0.0,0,1,0,0
0,4,2,11,0.0,0,1,0,0
0,4,5,18,0.0,0,1,0,0
1,2,1,41,0.0,0,1,0,0
1,2,2,60,0.0,0,1,0,0
1,2,3,4,0.0,0,1,0,0
1,3,1,4,0.0,0,1,0,0
1,3,1,5,0.0,0,1,0,0
1,3,2,15,0.0,0,1,0,0
1,4,1,1,0.0,0,1,0,0
1,4,2,6,0.0,0,1,0,0
1,4,2,8,0.0,0,1,0,0
1,4,2,10,0.0,0,1,0,0
1,4,3,4,0.0,0,1,0,0
1,4,3,10,0.0,0,1,0,0
0,1,3,7,0.0,0,1,0,0
0,3,1,15,0.0,0,1,0,0
0,4,1,10,0.0,0,1,0,0
0,4,1,10,0.0,0,1,0,0
0,4,1,13,0.0,0,1,0,0
0,4,1,16,0.0,0,1,0,0
0,4,1,17,0.0,0,1,0,0
0,4,2,12,0.0,0,1,0,0
0,4,2,12,0.0,0,1,0,0
0,5,3,8,0.0,0,1,0,0
0,6,1,13,0.0,0,1,0,0
1,1,1,9,0.0,0,1,0,0
1,1,1,13,0.0,0,1,0,0
1,1,2,7,0.0,0,1,0,0
1,1,2,7,0.0,0,1,0,0
1,1,2,13,0.0,0,1,0,0
1,1,3,6,0.0,0,1,0,0
1,1,3,8,0.0,0,1,0,0
1,2,1,4,0.0,0,1,0,0
1,2,1,6,0.0,0,1,0,0
1,2,1,8,0.0,0,1,0,0
1,2,1,9,0.0,0,1,0,0
1,2,1,18,0.0,0,1,0,0
1,2,2,9,0.0,0,1,0,0
1,2,2,10,1.2104029248056578,0,1,0,0
1,2,2,11,0.0,0,1,0,0
1,2,2,12,0.0,0,1,0,0
1,2,2,12,0.0,0,1,0,0
1,2,2,13,0.0,0,1,0,0
1,2,3,4,0.0,0,1,0,0
1,2,3,5,0.0,0,1,0,0
1,2,3,5,0.0,0,1,0,0
1,2,3,6,0.0,0,1,0,0
1,2,3,6,0.0,0,1,0,0
1,2,3,8,0.0,0,1,0,0
1,2,3,11,0.0,0,1,0,0
1,3,1,8,0.0,0,1,0,0
1,3,1,10,0.0,0,1,0,0
1,3,1,12,0.0,0,1,0,0
1,3,1,13,0.0,0,1,0,0
1,3,1,14,0.0,0,1,0,0
1,3,1,15,0.0,0,1,0,0
1,3,1,16,0.0,0,1,0,0
1,3,2,9,0.0,0,1,0,0
1,3,2,10,0.0,0,1,0,0
1,3,2,11,0.0,0,1,0,0
1,3,2,12,0.0,0,1,0,0
1,3,3,4,0.0,0,1,0,0
1,3,3,5,0.0,0,1,0,0
1,3,3,6,0.0,0,1,0,0
1,3,3,7,0.4418327522790392,0,1,0,0
1,3,3,7,0.0,0,1,0,0
1,4,1,0,0.0,0,1,0,0
1,4,1,1,0.0,0,1,0,0
1,4,1,2,0.0,0,1,0,0
1,4,1,3,0.0,0,1,0,0
1,4,1,4,0.0,0,1,0,0
1,4,1,5,0.0,0,1,0,0
1,4,1,6,0.0,0,1,0,0
1,4,1,7,0.0,0,1,0,0
1,4,1,8,0.0,0,1,0,0
1,4,1,11,0.0,0,1,0,0
1,4,1,12,0.0,0,1,0,0
1,4,1,12,0.0,0,1,0,0
1,4,1,13,0.0,0,1,0,0
1,4,1,14,0.0,0,1,0,0
1,4,1,15,0.0,0,1,0,0
1,4,1,17,0.0,0,1,0,0
1,4,1,23,0.0,0,1,0,0
1,4,2,5,0.0,0,1,0,0
1,4,2,6,0.0,0,1,0,0
1,4,2,7,0.0,0,1,0,0
1,4,2,7,0.0,0,1,0,0
1,4,2,8,0.0,0,1,0,0
1,4,2,9,0.0,0,1,0,0
1,4,2,10,0.0,0,1,0,0
1,4,2,10,0.0,0,1,0,0
1,4,2,11,0.0,0,1,0,0
1,4,2,12,0.0,0,1,0,0
1,4,2,12,0.0,0,1,0,0
1,4,2,13,0.0,0,1,0,0
1,4,2,14,0.0,0,1,0,0
1,4,2,15,0.0,0,1,0,0
1,4,2,17,0.0,0,1,0,0
1,4,3,3,0.0,0,1,0,0
1,4,3,3,0.0,0,1,0,0
1,4,3,4,0.0,0,1,0,0
1,4,3,5,0.0,0,1,0,0
1,4,3,6,0.0,0,1,0,0
1,4,3,7,0.0,0,1,0,0
1,4,3,7,0.0,0,1,0,0
1,4,3,8,0.0,0,1,0,0
1,4,3,9,0.0,0,1,0,0
1,4,3,10,0.0,0,1,0,0
1,4,3,11,0.0,0,1,0,0
1,4,3,12,0.0,0,1,0,0
1,4,3,18,0.0,0,1,0,0
1,5,2,7,0.0,0,1,0,0
1,5,2,8,0.0,0,1,0,0
1,5,2,9,0.0,0,1,0,0
1,5,2,12,0.0,0,1,0,0
1,5,2,13,0.0,0,1,0,0
1,5,2,16,0.0,0,1,0,0
1,5,3,7,0.0,0,1,0,0
1,6,1,1,0.0,0,1,0,0
1,6,1,3,0.0,0,1,0,0
1,6,1,10,0.0,0,1,0,0
1,6,1,22,0.0,0,1,0,0
1,6,2,7,0.0,0,1,0,0
1,6,2,8,0.0,0,1,0,0
1,6,2,10,0.0,0,1,0,0
1,6,3,4,0.0,0,1,0,0
1,6,3,6,0.0,0,1,0,0
1,7,1,16,0.0,0,1,0,0
0,1,1,7,0.0,0,1,0,0
0,1,1,12,0.0,0,1,0,0
0,1,3,8,0.0,0,1,0,0
0,1,3,8,0.0,0,1,0,0
0,2,1,10,0.0,0,1,0,0
0,2,2,13,0.0,0,1,0,0
0,2,3,15,0.0,0,1,0,0
0,2,3,23,0.0,0,1,0,0
0,3,1,5,0.0,0,1,0,0
0,3,1,16,0.0,0,1,0,0
0,3,1,18,0.0,0,1,0,0
0,3,2,11,0.0,0,1,0,0
0,3,3,8,0.0,0,1,0,0
0,4,1,3,0.0,0,1,0,0
0,4,1,7,0.0,0,1,0,0
0,4,1,11,0.0,0,1,0,0
0,4,1,14,0.0,0,1,0,0
0,4,1,14,0.0,0,1,0,0
0,4,1,15,0.0,0,1,0,0
0,4,1,15,0.0,0,1,0,0
0,4,1,17,0.0,0,1,0,0
0,4,1,17,0.0,0,1,0,0
0,4,1,18,0.0,0,1,0,0
0,4,1,18,0.0,0,1,0,0
0,4,1,19,0.0,0,1,0,0
0,4,2,0,0.0,0,1,0,0
0,4,2,5,0.0,0,1,0,0
0,4,2,10,0.0,0,1,0,0
0,4,2,11,0.0,0,1,0,0
0,4,2,11,0.0,0,1,0,0
0,4,2,13,0.0,0,1,0,0
0,4,2,13,0.0,0,1,0,0
0,4,2,14,0.0,0,1,0,0
0,4,2,17,0.0,0,1,0,0
0,4,3,3,0.0,0,1,0,0
0,4,3,4,0.0,0,1,0,0
0,4,3,8,0.0,0,1,0,0
0,4,3,9,0.0,0,1,0,0
0,4,3,10,0.0,0,1,0,0
0,4,3,15,0.0,0,1,0,0
0,6,1,12,0.0,0,1,0,0
0,6,2,11,0.0,0,1,0,0
1,1,1,1,0.0,0,1,0,0
1,1,1,2,0.0,0,1,0,0
1,1,1,2,0.0,0,1,0,0
1,1,1,4,0.0,0,1,0,0
1,1,1,7,0.0,0,1,0,0
1,1,1,8,0.0,0,1,0,0
1,1,1,9,0.0,0,1,0,0
1,1,1,10,0.0,0,1,0,0
1,1,1,14,0.0,0,1,0,0
1,1,1,16,0.0,0,1,0,0
1,1,1,46,0.0,0,1,0,0
1,1,2,8,0.0,0,1,0,0
1,1,2,8,0.0,0,1,0,0
1,1,2,9,0.0,0,1,0,0
1,1,2,10,1.2829153355207674,0,1,0,0
1,1,2,14,0.0,0,1,0,0
1,1,3,3,0.0,0,1,0,0
1,1,3,3,0.0,0,1,0,0
1,1,3,4,0.0,0,1,0,0
1,1,3,4,0.0,0,1,0,0
1,1,3,5,0.0,0,1,0,0
1,1,3,7,0.0,0,1,0,0
1,1,3,7,0.0,0,1,0,0
1,2,1,0,0.0,0,1,0,0
1,2,1,2,0.0,0,1,0,0
1,2,1,5,0.0,0,1,0,0
1,2,1,6,0.0,0,1,0,0
1,2,1,7,0.0,0,1,0,0
1,2,1,7,0.0,0,1,0,0
1,2,1,7,0.0,0,1,0,0
1,2,1,8,0.0,0,1,0,0
1,2,1,9,0.0,0,1,0,0
1,2,1,10,0.0,0,1,0,0
1,2,1,12,0.0,0,1,0,0
1,2,1,13,0.0,0,1,0,0
1,2,1,14,0.0,0,1,0,0
1,2,1,16,0.0,0,1,0,0
1,2,1,19,0.0,0,1,0,0
1,2,2,6,0.0,0,1,0,0
1,2,2,7,0.0,0,1,0,0
1,2,2,9,0.0,0,1,0,0
1,2,2,10,0.0,0,1,0,0
1,2,2,10,0.0,0,1,0,0
1,2,2,11,0.523946654018143,0,1,0,0
1,2,2,11,0.0,0,1,0,0
1,2,2,13,0.0,0,1,0,0
1,2,2,13,0.0,0,1,0,0
1,2,2,14,0.0,0,1,0,0
1,2,3,3,0.0,0,1,0,0
1,2,3,3,0.0,0,1,0,0
1,2,3,4,0.0,0,1,0,0
1,2,3,5,0.0,0,1,0,0
1,2,3,5,0.0,0,1,0,0
1,2,3,5,0.0,0,1,0,0
1,2,3,6,0.0,0,1,0,0
1,2,3,7,0.0,0,1,0,0
1,2,3,7,0.0,0,1,0,0
1,2,3,7,0.0,0,1,0,0
1,2,3,8,0.0,0,1,0,0
1,2,3,8,0.0,0,1,0,0
1,2,3,9,0.8225175765361258,0,1,0,0
1,2,3,10,0.0,0,1,0,0
1,2,4,6,0.0,0,1,0,0
1,3,1,1,0.0,0,1,0,0
1,3,1,4,0.0,0,1,0,0
1,3,1,5,0.0,0,1,0,0
1,3,1,6,0.0,0,1,0,0
1,3,1,6,0.0,0,1,0,0
1,3,1,7,0.0,0,1,0,0
1,3,1,7,1.8637313294824,0,1,0,0
1,3,1,8,0.0,0,1,0,0
1,3,1,9,0.0,0,1,0,0
1,3,1,10,0.0,0,1,0,0
1,3,1,11,0.0,0,1,0,0
1,3,1,11,0.0,0,1,0,0
1,3,1,12,0.0,0,1,0,0
1,3,1,12,0.0,0,1,0,0
1,3,1,13,0.0,0,1,0,0
1,3,1,13,0.0,0,1,0,0
1,3,1,14,0.0,0,1,0,0
1,3,1,15,0.0,0,1,0,0
1,3,1,16,0.0,0,1,0,0
1,3,1,17,0.0,0,1,0,0
1,3,1,17,0.0,0,1,0,0
1,3,1,18,0.0,0,1,0,0
1,3,2,3,0.0,0,1,0,0
1,3,2,3,0.0,0,1,0,0
1,3,2,4,0.0,0,1,0,0
1,3,2,6,0.0,0,1,0,0
1,3,2,6,0.0,0,1,0,0
1,3,2,8,0.0,0,1,0,0
1,3,2,10,0.0,0,1,0,0
1,3,2,11,0.0,0,1,0,0
1,3,2,12,0.0,0,1,0,0
1,3,2,12,0.0,0,1,0,0
1,3,2,13,0.0,0,1,0,0
1,3,2,14,0.0,0,1,0,0
1,3,2,15,0.0,0,1,0,0
1,3,2,16,0.0,0,1,0,0
1,3,2,17,0.0,0,1,0,0
1,3,3,3,0.0,0,1,0,0
1,3,3,3,0.0,0,1,0,0
1,3,3,4,0.2330155770415278,0,1,0,0
1,3,3,4,0.0,0,1,0,0
1,3,3,5,0.3213759353628276,0,1,0,0
1,3,3,5,0.0,0,1,0,0
1,3,3,6,0.0,0,1,0,0
1,3,3,7,0.0,0,1,0,0
1,3,3,7,0.0,0,1,0,0
1,3,3,8,0.0,0,1,0,0
1,3,3,8,0.0,0,1,0,0
1,3,3,9,0.0,0,1,0,0
1,3,3,10,0.0,0,1,0,0
1,3,3,12,0.0,0,1,0,0
1,3,3,13,0.0,0,1,0,0
1,3,5,3,0.0,0,1,0,0
1,4,1,0,0.0,0,1,0,0
1,4,1,0,0.0,0,1,0,0
1,4,1,1,0.0,0,1,0,0
1,4,1,1,0.0,0,1,0,0
1,4,1,2,0.0,0,1,0,0
1,4,1,2,0.0,0,1,0,0
1,4,1,4,0.0,0,1,0,0
1,4,1,4,0.0,0,1,0,0
1,4,1,5,0.0,0,1,0,0
1,4,1,5,0.0,0,1,0,0
1,4,1,6,0.6436762266531252,0,1,0,0
1,4,1,7,0.0,0,1,0,0
1,4,1,7,0.0,0,1,0,0
1,4,1,8,0.0,0,1,0,0
1,4,1,8,0.0,0,1,0,0
1,4,1,8,0.0,0,1,0,0
1,4,1,9,0.0,0,1,0,0
1,4,1,9,0.0,0,1,0,0
1,4,1,10,0.0,0,1,0,0
1,4,1,11,0.0,0,1,0,0
1,4,1,11,0.0,0,1,0,0
1,4,1,12,0.0,0,1,0,0
1,4,1,12,0.0,0,1,0,0
