owner_gender,vehicle_age,claim_frequency,Age_Is_young,Age_Is_lower_middle,Age_Is_upper_middle,Age_Is_old,geo_zone_1,geo_zone_2,geo_zone_3,geo_zone_4,geo_zone_5,geo_zone_6,geo_zone_7,vehicle_classification_1,vehicle_classification_2,vehicle_classification_3,vehicle_classification_4,vehicle_classification_5,vehicle_classification_6,vehicle_classification_7
1,12,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,18,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,25,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,26,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,8,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,20,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,16,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,17,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,21,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,13,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,22,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,14,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,18,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,23,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,10,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,58,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,24,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,13,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,40,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,51,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,59,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,15,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,5,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,13,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,11,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,18,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,41,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,60,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,4,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,4,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,5,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,15,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,6,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,8,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,10,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,4,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,10,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,7,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,15,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,10,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,10,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,13,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,16,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,17,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,12,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,12,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,8,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
