owner_age,owner_gender,geo_zone,vehicle_classification,vehicle_age,claim_frequency
0,1,1,4,12,0.0
5,0,3,3,18,0.0
5,0,4,1,25,0.0
6,0,2,1,26,0.0
9,0,3,3,8,0.0
9,1,4,4,20,0.0
10,1,2,3,16,0.0
10,1,4,2,17,0.0
10,1,4,4,21,0.0
11,0,2,3,13,0.0
11,1,4,4,22,0.0
12,0,2,3,14,0.0
12,1,2,1,18,0.0
12,1,4,4,23,0.0
13,0,4,4,10,0.0
13,1,2,2,58,0.0
13,1,4,4,24,0.0
13,1,6,1,13,0.0
14,1,2,1,40,0.0
14,1,2,1,51,0.0
14,1,2,2,59,0.0
14,1,4,1,15,0.0
14,1,4,3,5,0.0
14,1,4,5,13,0.0
15,0,4,2,11,0.0
15,0,4,5,18,0.0
15,1,2,1,41,0.0
15,1,2,2,60,0.0
15,1,2,3,4,0.0
15,1,3,1,4,0.0
15,1,3,1,5,0.0
15,1,3,2,15,0.0
15,1,4,1,1,0.0
15,1,4,2,6,0.0
15,1,4,2,8,0.0
15,1,4,2,10,0.0
15,1,4,3,4,0.0
15,1,4,3,10,0.0
16,0,1,3,7,0.0
16,0,3,1,15,0.0
16,0,4,1,10,0.0
16,0,4,1,10,0.0
16,0,4,1,13,0.0
16,0,4,1,16,0.0
16,0,4,1,17,0.0
16,0,4,2,12,0.0
16,0,4,2,12,0.0
16,0,5,3,8,0.0
16,0,6,1,13,0.0
16,1,1,1,9,0.0
16,1,1,1,13,0.0
16,1,1,2,7,0.0
16,1,1,2,7,0.0
16,1,1,2,13,0.0
16,1,1,3,6,0.0
16,1,1,3,8,0.0
16,1,2,1,4,0.0
16,1,2,1,6,0.0
16,1,2,1,8,0.0
16,1,2,1,9,0.0
16,1,2,1,18,0.0
16,1,2,2,9,0.0
16,1,2,2,10,1.2104029248056578
16,1,2,2,11,0.0
16,1,2,2,12,0.0
16,1,2,2,12,0.0
16,1,2,2,13,0.0
16,1,2,3,4,0.0
16,1,2,3,5,0.0
16,1,2,3,5,0.0
16,1,2,3,6,0.0
16,1,2,3,6,0.0
16,1,2,3,8,0.0
16,1,2,3,11,0.0
16,1,3,1,8,0.0
16,1,3,1,10,0.0
16,1,3,1,12,0.0
16,1,3,1,13,0.0
16,1,3,1,14,0.0
16,1,3,1,15,0.0
16,1,3,1,16,0.0
16,1,3,2,9,0.0
16,1,3,2,10,0.0
16,1,3,2,11,0.0
16,1,3,2,12,0.0
16,1,3,3,4,0.0
16,1,3,3,5,0.0
16,1,3,3,6,0.0
16,1,3,3,7,0.44183275227903923
16,1,3,3,7,0.0
16,1,4,1,0,0.0
16,1,4,1,1,0.0
16,1,4,1,2,0.0
16,1,4,1,3,0.0
16,1,4,1,4,0.0
16,1,4,1,5,0.0
16,1,4,1,6,0.0
16,1,4,1,7,0.0
16,1,4,1,8,0.0
16,1,4,1,11,0.0
16,1,4,1,12,0.0
