,owner_age,owner_gender,geo_zone,vehicle_classification,vehicle_age,duration,n_claims,claim_cost,claim_frequency
0,0,1,1,4,12,0.175342,0,0,0.0
1,4,1,3,6,9,0.0,0,0,0.0
2,5,0,3,3,18,0.454795,0,0,0.0
3,5,0,4,1,25,0.172603,0,0,0.0
4,6,0,2,1,26,0.180822,0,0,0.0
5,9,0,3,3,8,0.542466,0,0,0.0
6,9,0,4,3,6,0.0,0,0,0.0
7,9,1,4,4,20,0.50411,0,0,0.0
8,10,1,2,3,16,0.150685,0,0,0.0
9,10,1,4,2,17,0.523288,0,0,0.0
10,10,1,4,4,21,1.00274,0,0,0.0
11,11,0,2,3,13,1.065753,0,0,0.0
12,11,1,4,4,22,1.0,0,0,0.0
13,12,0,2,3,14,0.517808,0,0,0.0
14,12,1,2,1,18,0.975342,0,0,0.0
15,12,1,4,4,23,1.0,0,0,0.0
16,13,0,4,4,10,0.671233,0,0,0.0
17,13,1,2,2,58,0.931507,0,0,0.0
18,13,1,4,4,24,0.49589,0,0,0.0
19,13,1,4,5,18,0.0,0,0,0.0
20,13,1,6,1,13,0.580822,0,0,0.0
21,14,1,2,1,40,1.0,0,0,0.0
22,14,1,2,1,51,0.169863,0,0,0.0
23,14,1,2,2,59,1.0,0,0,0.0
24,14,1,4,1,15,0.939726,0,0,0.0
25,14,1,4,3,5,0.435616,0,0,0.0
26,14,1,4,5,13,0.194521,0,0,0.0
27,15,0,4,2,11,0.208219,0,0,0.0
28,15,0,4,5,18,0.254795,0,0,0.0
29,15,1,2,1,41,1.0,0,0,0.0
30,15,1,2,2,60,0.991781,0,0,0.0
31,15,1,2,3,4,0.087671,0,0,0.0
32,15,1,3,1,4,0.249315,0,0,0.0
33,15,1,3,1,5,0.460274,0,0,0.0
34,15,1,3,2,10,0.0,0,0,0.0
35,15,1,3,2,15,0.553425,0,0,0.0
36,15,1,4,1,1,0.008219,0,0,0.0
37,15,1,4,2,4,0.0,0,0,0.0
38,15,1,4,2,6,0.624658,0,0,0.0
39,15,1,4,2,8,0.035616,0,0,0.0
40,15,1,4,2,10,0.454795,0,0,0.0
41,15,1,4,3,4,0.145205,0,0,0.0
42,15,1,4,3,10,0.013699,0,0,0.0
43,16,0,1,3,7,0.232877,0,0,0.0
44,16,0,2,2,11,0.0,0,0,0.0
45,16,0,3,1,15,0.50137,0,0,0.0
46,16,0,4,1,10,0.336986,0,0,0.0
47,16,0,4,1,10,0.249315,0,0,0.0
48,16,0,4,1,13,0.473973,0,0,0.0
49,16,0,4,1,16,0.50411,0,0,0.0
50,16,0,4,1,17,0.443836,0,0,0.0
51,16,0,4,2,12,0.835616,0,0,0.0
52,16,0,4,2,12,0.252055,0,0,0.0
53,16,0,4,3,11,0.0,0,0,0.0
54,16,0,5,3,8,0.465753,0,0,0.0
55,16,0,6,1,13,0.243836,0,0,0.0
56,16,1,1,1,3,0.0,0,0,0.0
57,16,1,1,1,9,0.438356,0,0,0.0
58,16,1,1,1,13,0.060274,0,0,0.0
59,16,1,1,2,7,0.167123,0,0,0.0
60,16,1,1,2,7,0.09589,0,0,0.0
61,16,1,1,2,13,0.441096,0,0,0.0
62,16,1,1,3,6,0.517808,0,0,0.0
63,16,1,1,3,8,0.884932,0,0,0.0
64,16,1,2,1,4,0.635616,0,0,0.0
65,16,1,2,1,6,0.372603,0,0,0.0
66,16,1,2,1,8,1.120548,0,0,0.0
67,16,1,2,1,9,0.293151,0,0,0.0
68,16,1,2,1,18,0.342466,0,0,0.0
69,16,1,2,2,9,0.953425,0,0,0.0
70,16,1,2,2,10,0.424658,1,6847,2.0
71,16,1,2,2,11,0.010959,0,0,0.0
72,16,1,2,2,12,1.70137,0,0,0.0
73,16,1,2,2,12,0.021918,0,0,0.0
74,16,1,2,2,13,0.460274,0,0,0.0
75,16,1,2,3,4,0.578082,0,0,0.0
76,16,1,2,3,5,1.243836,0,0,0.0
77,16,1,2,3,5,0.046575,0,0,0.0
78,16,1,2,3,6,1.50137,0,0,0.0
79,16,1,2,3,6,0.016438,0,0,0.0
80,16,1,2,3,8,0.205479,0,0,0.0
81,16,1,2,3,11,0.060274,0,0,0.0
82,16,1,3,1,8,0.479452,0,0,0.0
83,16,1,3,1,10,0.446575,0,0,0.0
84,16,1,3,1,12,0.161644,0,0,0.0
85,16,1,3,1,13,0.769863,0,0,0.0
86,16,1,3,1,14,0.542466,0,0,0.0
87,16,1,3,1,15,0.016438,0,0,0.0
88,16,1,3,1,16,0.161644,0,0,0.0
89,16,1,3,2,6,0.0,0,0,0.0
90,16,1,3,2,9,0.438356,0,0,0.0
91,16,1,3,2,10,0.046575,0,0,0.0
92,16,1,3,2,11,1.315068,0,0,0.0
93,16,1,3,2,12,0.191781,0,0,0.0
94,16,1,3,3,4,1.167123,0,0,0.0
95,16,1,3,3,5,0.59726,0,0,0.0
96,16,1,3,3,6,1.19726,0,0,0.0
97,16,1,3,3,7,1.8,1,20223,1.0
98,16,1,3,3,7,0.082192,0,0,0.0
100,16,1,4,1,1,0.660274,0,0,0.0
101,16,1,4,1,2,1.854795,0,0,0.0
102,16,1,4,1,3,1.958904,0,0,0.0
103,16,1,4,1,4,1.728767,0,0,0.0
104,16,1,4,1,5,0.386301,0,0,0.0
105,16,1,4,1,6,0.936986,0,0,0.0
106,16,1,4,1,7,0.975342,0,0,0.0
107,16,1,4,1,8,1.063014,0,0,0.0
108,16,1,4,1,10,0.0,0,0,0.0
109,16,1,4,1,11,1.641096,0,0,0.0
110,16,1,4,1,12,0.608219,0,0,0.0
111,16,1,4,1,12,0.320548,0,0,0.0
112,16,1,4,1,13,0.413699,0,0,0.0
113,16,1,4,1,14,0.673973,0,0,0.0
114,16,1,4,1,15,0.19726,0,0,0.0
115,16,1,4,1,17,0.378082,0,0,0.0
116,16,1,4,1,23,0.49589,0,0,0.0
117,16,1,4,2,5,0.432877,0,0,0.0
118,16,1,4,2,6,0.443836,0,0,0.0
119,16,1,4,2,7,1.408219,0,0,0.0
120,16,1,4,2,7,0.50137,0,0,0.0
121,16,1,4,2,8,2.871233,0,0,0.0
122,16,1,4,2,9,2.024658,0,0,0.0
123,16,1,4,2,10,1.79726,0,0,0.0
124,16,1,4,2,10,0.263014,0,0,0.0
125,16,1,4,2,11,3.016438,0,0,0.0
126,16,1,4,2,12,3.665753,0,0,0.0
127,16,1,4,2,12,0.252055,0,0,0.0
128,16,1,4,2,13,2.071233,0,0,0.0
129,16,1,4,2,14,0.060274,0,0,0.0
130,16,1,4,2,15,0.328767,0,0,0.0
131,16,1,4,2,17,0.019178,0,0,0.0
132,16,1,4,3,3,1.013699,0,0,0.0
133,16,1,4,3,3,0.153425,0,0,0.0
134,16,1,4,3,4,1.868493,0,0,0.0
135,16,1,4,3,5,3.605479,0,0,0.0
136,16,1,4,3,6,2.523288,0,0,0.0
137,16,1,4,3,7,3.739726,0,0,0.0
138,16,1,4,3,7,0.4,0,0,0.0
139,16,1,4,3,8,0.484932,0,0,0.0
140,16,1,4,3,9,1.780822,0,0,0.0
141,16,1,4,3,10,0.427397,0,0,0.0
142,16,1,4,3,11,0.443836,0,0,0.0
143,16,1,4,3,12,0.413699,0,0,0.0
144,16,1,4,3,18,0.038356,0,0,0.0
145,16,1,5,2,7,0.482192,0,0,0.0
146,16,1,5,2,8,0.723288,0,0,0.0
147,16,1,5,2,9,0.235616,0,0,0.0
148,16,1,5,2,12,0.065753,0,0,0.0
149,16,1,5,2,13,0.336986,0,0,0.0
150,16,1,5,2,16,0.00274,0,0,0.0
151,16,1,5,3,7,0.452055,0,0,0.0
152,16,1,6,1,1,0.060274,0,0,0.0
153,16,1,6,1,3,0.443836,0,0,0.0
154,16,1,6,1,10,0.010959,0,0,0.0
155,16,1,6,1,22,0.931507,0,0,0.0
156,16,1,6,2,7,0.145205,0,0,0.0
157,16,1,6,2,8,0.232877,0,0,0.0
158,16,1,6,2,10,0.210959,0,0,0.0
159,16,1,6,3,4,0.128767,0,0,0.0
160,16,1,6,3,6,0.19726,0,0,0.0
161,16,1,7,1,16,0.421918,0,0,0.0
162,16,1,7,1,18,0.0,0,0,0.0
163,16,1,7,2,15,0.0,0,0,0.0
164,17,0,1,1,7,0.994521,0,0,0.0
165,17,0,1,1,12,0.536986,0,0,0.0
166,17,0,1,3,8,0.189041,0,0,0.0
167,17,0,1,3,8,0.528767,0,0,0.0
168,17,0,2,1,10,1.046575,0,0,0.0
169,17,0,2,2,13,0.0,0,0,0.0
170,17,0,2,2,13,0.134247,0,0,0.0
171,17,0,2,3,15,0.249315,0,0,0.0
172,17,0,2,3,23,0.312329,0,0,0.0
173,17,0,3,1,5,0.435616,0,0,0.0
174,17,0,3,1,16,1.00274,0,0,0.0
175,17,0,3,1,18,1.972603,0,0,0.0
176,17,0,3,2,11,0.460274,0,0,0.0
177,17,0,3,3,8,0.493151,0,0,0.0
178,17,0,4,1,3,0.49589,0,0,0.0
179,17,0,4,1,7,0.493151,0,0,0.0
180,17,0,4,1,11,0.432877,0,0,0.0
181,17,0,4,1,14,0.49589,0,0,0.0
182,17,0,4,1,14,0.50411,0,0,0.0
183,17,0,4,1,15,0.49863,0,0,0.0
184,17,0,4,1,15,0.032877,0,0,0.0
185,17,0,4,1,17,1.041096,0,0,0.0
186,17,0,4,1,17,0.39726,0,0,0.0
187,17,0,4,1,18,0.679452,0,0,0.0
188,17,0,4,1,18,0.50137,0,0,0.0
189,17,0,4,1,19,0.994521,0,0,0.0
191,17,0,4,2,5,0.334247,0,0,0.0
192,17,0,4,2,10,0.487671,0,0,0.0
193,17,0,4,2,11,0.969863,0,0,0.0
194,17,0,4,2,11,0.583562,0,0,0.0
195,17,0,4,2,13,0.747945,0,0,0.0
196,17,0,4,2,13,0.252055,0,0,0.0
197,17,0,4,2,14,1.158904,0,0,0.0
198,17,0,4,2,17,0.254795,0,0,0.0
199,17,0,4,3,3,0.471233,0,0,0.0
200,17,0,4,3,4,1.0,0,0,0.0
